Software Engineer,1
Product Manager,1
Employee,1
Person,1
Writer,1
Public Speaker,1
Inventor,1
Academic,1
Digital Entity,1

Software Design,2
Software Architecture,2
Machine Learning,2
Text Mining,2
Data Mining,2
Big Data,2
Application Development,2
Data Processing,2
Java,2
Ruby,2
JavaScript,2

BSc Computing (1st Class),3
MSc Software Engineering (Distinction),3
MBCS CITP,3
DeveloperWorks Author Award,3
Siemens Innovation Award,3
Calculus One,3

LinkedIn,4
Twitter,4
Github,4
ISNI,4
Orcid,4
Photographs,4

Mercia Software,5
Siemens Communications,5
IBM,5
Digital Science,5
Loughborough University,5
Oxford University,5
Coursera,5

Tetsudo,6
Rock Climbing,6
Writing,6
Old Computer Games,6
Comic Books,6
Movies,6
Travel,6

[Journal Articles],7
[Technical Articles],7
[Tutorial Articles],7
[Three Friends article],7
POSA For Dummies,7

PRC text mining,8
Boing Boing,8
Digital Science Blog,8
Variable Tree,8
TPLOP,8
IBM DeveloperWorks,8
ObjektSpectrum,8

[IBM patent 1],9
[IBM patent 2],9
IP.com,9

[Some places],10
iAnnotate,10

That's Confidential,11

Curriculum Vitae,12






